#{"t_start": 1657722338.7432427, "env_id": "CustomHopper-source-v0"}
r,l,t
379.115008,136,28.999287
330.063967,126,29.088241
137.926531,70,29.135952
166.956416,86,29.194733
375.709788,147,29.294833
349.39804,137,29.387726
204.059383,120,29.473158
459.613577,162,29.587125
373.837845,161,29.705529
247.148952,133,29.803576
395.665209,174,29.921465
272.888535,136,30.013934
471.434065,193,30.144135
400.593593,183,30.268641
349.241898,130,30.548603
265.013562,132,30.638442
621.792881,244,30.816687
80.341729,45,30.848503
194.129413,97,30.920615
554.575861,224,31.077605
224.311911,99,31.149538
484.180006,179,31.27199
364.70401,155,31.376998
293.94618,138,31.47039
248.379084,121,31.552434
524.804373,233,31.718526
395.498363,177,31.847498
501.114364,205,32.195382
340.521871,147,32.295728
391.939262,157,32.403061
353.222691,137,32.49629
164.204019,105,32.567436
233.796919,97,32.633504
218.329803,123,32.724968
200.563669,160,32.839112
86.145311,78,32.895211
500.235876,200,33.035197
358.898536,155,33.140806
375.149061,193,33.272438
451.805497,201,33.409541
342.847017,147,33.509649
691.201534,288,33.895741
640.304865,248,34.092715
337.642546,151,34.215703
236.466321,108,34.310991
407.792028,163,34.430332
358.673633,155,34.541933
361.610788,133,34.638898
401.789058,183,34.770428
435.137283,178,34.891664
423.004315,201,35.0298
335.425945,155,35.135325
381.900039,148,35.241094
216.096289,124,35.553089
436.732084,160,35.666931
405.288092,168,35.798513
495.54417,232,35.9577
467.730297,202,36.096559
310.329838,134,36.189002
144.505277,100,36.26078
428.946947,175,36.381957
340.328665,136,36.476316
446.540131,186,36.61159
404.25436,181,36.764458
446.193091,212,36.93939
378.695467,141,37.299482
420.692565,159,37.410323
395.653796,149,37.552712
444.621008,170,37.66953
380.952298,151,37.779143
285.369616,118,37.896047
371.928779,158,38.006277
440.510929,185,38.150596
491.478368,207,38.311765
412.878476,186,38.446419
345.045999,130,38.563455
696.793194,285,38.757244
348.38139,154,39.086851
676.335492,263,39.303879
300.727957,151,39.408208
387.725332,154,39.520196
503.137432,209,39.702762
296.932773,128,39.792192
399.866651,150,39.896469
546.213025,197,40.070935
388.459823,157,40.183472
389.053035,145,40.288172
448.723861,186,40.450648
488.308274,199,40.587173
391.136854,150,40.936132
767.63768,291,41.168717
538.230713,216,41.337531
392.002987,150,41.469131
415.471094,164,41.584268
332.212173,139,41.680827
182.617596,92,41.74472
392.119258,157,41.853361
404.430524,161,41.965299
859.787277,342,42.201989
387.553043,152,42.307557
461.288937,239,42.680956
611.704002,220,42.836519
341.975647,142,42.93521
367.252677,165,43.0497
502.910306,194,43.182087
385.032264,160,43.292146
452.053324,200,43.436182
509.470913,187,43.626889
219.433479,102,43.732623
628.26187,232,43.989289
482.886926,180,44.174147
374.023798,161,44.626388
333.336409,146,44.734035
417.478081,159,44.848949
390.159181,145,44.981792
224.417809,117,45.066738
432.252443,157,45.187358
397.615676,170,45.31434
570.936914,214,45.466808
598.208854,234,45.631094
376.550919,150,45.741889
374.276835,147,45.885337
315.789872,143,45.98835
590.590575,230,46.149777
545.123617,192,46.488753
386.670091,149,46.59558
431.582418,168,46.734084
315.837198,140,46.834034
865.781349,292,47.055925
364.182353,128,47.147947
949.566725,406,47.42754
382.335661,143,47.531109
369.660164,151,47.648345
354.660702,139,47.753264
386.650473,147,47.861834
392.024859,148,48.16716
369.296798,163,48.279155
611.983833,213,48.423569
391.120672,160,48.53737
258.044948,140,48.633023
367.807266,136,48.726079
371.623452,133,48.83402
582.1533,197,49.02073
754.912625,272,49.296333
951.740648,317,49.591914
491.46664,174,49.935186
806.598545,293,50.234725
573.727321,214,50.451941
534.149125,196,50.600698
514.196128,177,50.7812
578.961839,209,50.994401
380.194876,138,51.119877
841.569754,311,51.335658
385.156618,150,51.437706
592.490252,210,51.605911
406.399357,151,51.998315
658.309339,217,52.150578
430.732007,153,52.281651
412.958396,146,52.404731
327.94311,141,52.504797
834.231686,312,52.743972
441.287627,206,52.883834
910.394401,365,53.181445
245.542878,117,53.271305
702.869049,231,53.474054
247.038113,136,53.595686
623.918382,204,54.033511
679.297204,215,54.178076
760.940225,237,54.338761
1009.839174,396,54.60525
189.203854,93,54.66847
420.427261,152,54.771285
408.156415,152,54.873721
234.444028,125,54.95969
457.844285,171,55.077671
620.08374,227,55.233196
589.452734,206,55.576601
379.143837,171,55.70136
682.904365,216,55.866767
455.881868,163,55.983444
283.308456,134,56.082071
475.324985,168,56.21122
837.411844,283,56.424783
477.997866,167,56.546808
251.750027,124,56.633112
686.319298,214,56.806547
590.480092,210,56.954551
399.54755,155,57.256765
614.427288,212,57.401053
407.961412,143,57.497839
440.667735,152,57.600329
634.144856,209,57.742841
948.68676,354,57.981646
595.888555,191,58.111317
408.871156,145,58.209218
651.272911,220,58.357982
384.2314,152,58.46101
739.21579,283,58.850457
606.666912,216,58.998229
632.908697,213,59.143871
593.379948,211,59.288029
671.686501,289,59.498599
587.136764,191,59.628117
648.817559,211,59.771393
401.145806,144,59.869334
380.756945,141,59.96478
1243.733977,500,60.499206
460.737903,157,60.606128
708.450763,238,60.766688
412.80045,153,60.870994
382.195932,169,60.986054
866.858395,288,61.181212
451.656473,177,61.301762
388.519733,156,61.408356
598.738589,236,61.607678
291.59479,127,61.705729
445.194769,179,61.82832
602.889959,188,62.150246
660.031735,212,62.322179
331.511945,142,62.42315
545.569879,203,62.563867
850.07342,275,62.779815
261.58658,135,62.8818
658.230538,211,63.038859
658.340619,223,63.210842
643.73442,204,63.378494
582.045755,195,63.569876
217.679503,101,63.86729
209.884044,97,63.933865
638.455614,213,64.077649
576.249337,180,64.198968
814.747926,293,64.397922
639.134432,213,64.542069
634.153963,204,64.679878
194.806317,92,64.742583
826.992277,279,64.930545
194.585636,92,64.9928
247.606689,110,65.067743
758.0661,259,65.449312
621.111813,212,65.592487
868.953659,293,65.791849
774.698355,280,65.980999
503.777702,214,66.12497
592.721445,199,66.260973
656.367617,236,66.421643
807.380175,263,66.60099
1272.393421,467,67.10962
1084.946447,374,67.363953
931.88782,333,67.590402
253.942904,114,67.669763
409.187277,145,67.768005
554.413242,194,67.90064
650.220195,226,68.055036
727.522622,251,68.22595
731.297073,253,68.399312
786.355673,289,68.792508
858.398561,284,68.987607
769.482372,258,69.16228
968.668813,307,69.370543
656.789099,223,69.523335
750.309954,296,69.726727
620.90939,202,69.864146
616.382533,213,70.008179
1095.806391,354,70.439271
848.742554,270,70.622055
546.792828,213,70.767332
600.719383,193,70.898265
580.732015,222,71.050121
607.809956,196,71.1838
330.958477,139,71.278194
450.05535,155,71.384536
696.755044,235,71.54364
738.000467,238,71.897973
1054.189409,363,72.146606
902.510968,280,72.338306
401.644736,135,72.433119
1139.597533,383,72.692686
280.215254,122,72.776845
645.575236,208,72.932212
807.501842,282,73.156527
431.75188,148,73.456435
761.214682,258,73.657151
672.349921,222,73.84389
829.837072,284,74.061773
724.790565,242,74.230016
996.817426,343,74.46783
611.220532,196,74.605147
636.385521,206,74.744519
839.868226,271,75.12888
725.393582,244,75.297906
994.416345,342,75.531494
647.51835,206,75.674042
853.373851,270,75.855869
755.011046,248,76.022541
849.829235,284,76.213845
268.950164,101,76.283477
931.33734,296,76.483083
730.64133,249,76.843485
802.858876,265,77.029561
619.866487,199,77.163541
729.952449,254,77.338002
820.898876,282,77.532986
847.539297,277,77.720695
802.300608,264,77.903614
370.436372,133,77.994644
409.141333,141,78.094787
507.251379,166,78.420584
566.149053,179,78.546261
794.915978,270,78.751914
601.535026,197,78.915366
380.365388,128,79.018092
651.489241,211,79.183166
828.495798,267,79.374267
837.736293,289,79.579772
999.509352,349,79.835959
548.883336,196,80.196721
576.949415,186,80.335219
633.234784,205,80.489934
477.894673,153,80.612357
668.774781,213,80.756083
875.834908,291,80.955505
826.902751,254,81.136516
731.77682,251,81.330503
588.179411,198,81.469828
